Decade,Year,Month,Source,Averaging Period,Value Type,Sea Level (feet)
2010s,2019,12,NOAA Historical Data,Monthly,MSL,-0.344
2010s,2018,1,NOAA Historical Data,Monthly,MSL,-0.837
2010s,2018,2,NOAA Historical Data,Monthly,MSL,-1.027
2010s,2018,3,NOAA Historical Data,Monthly,MSL,-0.417
2010s,2018,4,NOAA Historical Data,Monthly,MSL,-0.745
2010s,2018,5,NOAA Historical Data,Monthly,MSL,-0.919
2010s,2018,6,NOAA Historical Data,Monthly,MSL,-0.755
2010s,2018,7,NOAA Historical Data,Monthly,MSL,-0.659
2010s,2018,8,NOAA Historical Data,Monthly,MSL,-0.64
2010s,2018,9,NOAA Historical Data,Monthly,MSL,-0.331
2010s,2018,10,NOAA Historical Data,Monthly,MSL,-0.299
2010s,2018,11,NOAA Historical Data,Monthly,MSL,-0.348
2010s,2018,12,NOAA Historical Data,Monthly,MSL,-0.518
2010s,2017,1,NOAA Historical Data,Monthly,MSL,-0.741
2010s,2017,2,NOAA Historical Data,Monthly,MSL,-0.906
2010s,2017,3,NOAA Historical Data,Monthly,MSL,-0.869
2010s,2017,4,NOAA Historical Data,Monthly,MSL,-0.486
2010s,2017,5,NOAA Historical Data,Monthly,MSL,-0.797
2010s,2017,6,NOAA Historical Data,Monthly,MSL,-0.636
2010s,2017,7,NOAA Historical Data,Monthly,MSL,-0.554
2010s,2017,8,NOAA Historical Data,Monthly,MSL,-0.636
2010s,2017,9,NOAA Historical Data,Monthly,MSL,0.003
2010s,2017,10,NOAA Historical Data,Monthly,MSL,0.013
2010s,2017,11,NOAA Historical Data,Monthly,MSL,-0.194
2010s,2017,12,NOAA Historical Data,Monthly,MSL,-0.656
2010s,2016,1,NOAA Historical Data,Monthly,MSL,-0.427
2010s,2016,3,NOAA Historical Data,Monthly,MSL,-0.768
2010s,2016,4,NOAA Historical Data,Monthly,MSL,-0.548
2010s,2016,5,NOAA Historical Data,Monthly,MSL,-0.627
2010s,2016,6,NOAA Historical Data,Monthly,MSL,-0.712
2010s,2016,7,NOAA Historical Data,Monthly,MSL,-0.797
2010s,2016,8,NOAA Historical Data,Monthly,MSL,-0.591
2010s,2016,9,NOAA Historical Data,Monthly,MSL,-0.518
2010s,2016,10,NOAA Historical Data,Monthly,MSL,0.154
2010s,2016,11,NOAA Historical Data,Monthly,MSL,-0.115
2010s,2016,12,NOAA Historical Data,Monthly,MSL,-0.64
2010s,2015,1,NOAA Historical Data,Monthly,MSL,-0.614
2010s,2015,2,NOAA Historical Data,Monthly,MSL,-0.568
2010s,2015,3,NOAA Historical Data,Monthly,MSL,-0.883
2010s,2015,4,NOAA Historical Data,Monthly,MSL,-0.778
2010s,2015,5,NOAA Historical Data,Monthly,MSL,-0.686
2010s,2015,6,NOAA Historical Data,Monthly,MSL,-0.925
2010s,2015,7,NOAA Historical Data,Monthly,MSL,-0.807
2010s,2015,8,NOAA Historical Data,Monthly,MSL,-0.492
2010s,2015,9,NOAA Historical Data,Monthly,MSL,-0.282
2010s,2015,10,NOAA Historical Data,Monthly,MSL,0.282
2010s,2015,11,NOAA Historical Data,Monthly,MSL,-0.213
2010s,2015,12,NOAA Historical Data,Monthly,MSL,-0.338
2010s,2014,1,NOAA Historical Data,Monthly,MSL,-0.682
2010s,2014,2,NOAA Historical Data,Monthly,MSL,-0.604
2010s,2014,3,NOAA Historical Data,Monthly,MSL,-0.712
2010s,2014,4,NOAA Historical Data,Monthly,MSL,-0.643
2010s,2014,5,NOAA Historical Data,Monthly,MSL,-0.594
2010s,2014,6,NOAA Historical Data,Monthly,MSL,-0.764
2010s,2014,7,NOAA Historical Data,Monthly,MSL,-0.741
2010s,2014,8,NOAA Historical Data,Monthly,MSL,-0.41
2010s,2014,9,NOAA Historical Data,Monthly,MSL,-0.318
2010s,2014,10,NOAA Historical Data,Monthly,MSL,-0.217
2010s,2014,11,NOAA Historical Data,Monthly,MSL,-0.2
2010s,2014,12,NOAA Historical Data,Monthly,MSL,-0.322
2010s,2013,1,NOAA Historical Data,Monthly,MSL,-0.791
2010s,2013,2,NOAA Historical Data,Monthly,MSL,-0.85
2010s,2013,3,NOAA Historical Data,Monthly,MSL,-0.656
2010s,2013,4,NOAA Historical Data,Monthly,MSL,-0.843
2010s,2013,5,NOAA Historical Data,Monthly,MSL,-0.617
2010s,2013,6,NOAA Historical Data,Monthly,MSL,-0.902
2010s,2013,7,NOAA Historical Data,Monthly,MSL,-0.636
2010s,2013,8,NOAA Historical Data,Monthly,MSL,-0.673
2010s,2013,9,NOAA Historical Data,Monthly,MSL,-0.331
2010s,2013,10,NOAA Historical Data,Monthly,MSL,-0.079
2010s,2013,11,NOAA Historical Data,Monthly,MSL,-0.217
2010s,2013,12,NOAA Historical Data,Monthly,MSL,-0.61
2010s,2012,1,NOAA Historical Data,Monthly,MSL,-1.129
2010s,2012,2,NOAA Historical Data,Monthly,MSL,-0.748
2010s,2012,3,NOAA Historical Data,Monthly,MSL,-0.863
2010s,2012,4,NOAA Historical Data,Monthly,MSL,-0.748
2010s,2012,5,NOAA Historical Data,Monthly,MSL,-0.61
2010s,2012,6,NOAA Historical Data,Monthly,MSL,-0.449
2010s,2012,7,NOAA Historical Data,Monthly,MSL,-0.689
2010s,2012,8,NOAA Historical Data,Monthly,MSL,-0.614
2010s,2012,9,NOAA Historical Data,Monthly,MSL,-0.587
2010s,2012,10,NOAA Historical Data,Monthly,MSL,-0.259
2010s,2012,11,NOAA Historical Data,Monthly,MSL,-0.026
2010s,2012,12,NOAA Historical Data,Monthly,MSL,-0.577
2010s,2011,1,NOAA Historical Data,Monthly,MSL,-1.26
2010s,2011,2,NOAA Historical Data,Monthly,MSL,-1.286
2010s,2011,3,NOAA Historical Data,Monthly,MSL,-1.129
2010s,2011,4,NOAA Historical Data,Monthly,MSL,-1.076
2010s,2011,5,NOAA Historical Data,Monthly,MSL,-0.938
2010s,2011,6,NOAA Historical Data,Monthly,MSL,-0.791
2010s,2011,7,NOAA Historical Data,Monthly,MSL,-0.814
2010s,2011,8,NOAA Historical Data,Monthly,MSL,-0.525
2010s,2011,9,NOAA Historical Data,Monthly,MSL,-0.459
2010s,2011,10,NOAA Historical Data,Monthly,MSL,-0.318
2010s,2011,11,NOAA Historical Data,Monthly,MSL,-0.318
2010s,2011,12,NOAA Historical Data,Monthly,MSL,-0.722
2010s,2010,1,NOAA Historical Data,Monthly,MSL,-0.935
2010s,2010,2,NOAA Historical Data,Monthly,MSL,-0.82
2010s,2010,3,NOAA Historical Data,Monthly,MSL,-1.017
2010s,2010,4,NOAA Historical Data,Monthly,MSL,-0.971
2010s,2010,5,NOAA Historical Data,Monthly,MSL,-0.902
2010s,2010,6,NOAA Historical Data,Monthly,MSL,-0.81
2010s,2010,7,NOAA Historical Data,Monthly,MSL,-0.807
2010s,2010,8,NOAA Historical Data,Monthly,MSL,-0.781
2010s,2010,9,NOAA Historical Data,Monthly,MSL,-0.325
2010s,2010,10,NOAA Historical Data,Monthly,MSL,-0.443
2010s,2010,11,NOAA Historical Data,Monthly,MSL,-0.558
2010s,2010,12,NOAA Historical Data,Monthly,MSL,-0.902
